standard_incidence_angles,standard_offsets,standard_refraction_angles,,,,materials-A_incidence_angles,materials-A_offsets,materials-A_refraction_angles,,,,materials-B_incidence_angles,materials-B_offsets,materials-B_refraction_angles,,,,materials-C_incidence_angles,materials-C_offsets,materials-C_refraction_angles,,,,thicks-A_incidence_angles,thicks-A_offsets,thicks-A_refraction_angles,,,,thicks-B_incidence_angles,thicks-B_offsets,thicks-B_refraction_angles,,,,thicks-C_incidence_angles,thicks-C_offsets,thicks-C_refraction_angles
0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0
0.909090909,0.000119293,0.683514532,,,,0.909090909,0.000116722,0.668780555,,,,0.909090909,0.00010967,0.628375606,,,,0.909090909,0.000103034,0.59035045,,,,0.909090909,0.00119293,0.683514532,,,,0.909090909,0.011929296,0.683514532,,,,0.909090909,0.119292961,0.683514532
1.818181818,0.000238556,1.366954247,,,,1.818181818,0.000233414,1.337483846,,,,1.818181818,0.000219312,1.256668584,,,,1.818181818,0.000206042,1.180614938,,,,1.818181818,0.002385559,1.366954247,,,,1.818181818,0.023855589,1.366954247,,,,1.818181818,0.238555891,1.366954247
2.727272727,0.000357759,2.05024425,,,,2.727272727,0.000350047,2.006032534,,,,2.727272727,0.0003289,1.884796237,,,,2.727272727,0.000308998,1.770707444,,,,2.727272727,0.003577588,2.05024425,,,,2.727272727,0.035775877,2.05024425,,,,2.727272727,0.357758766,2.05024425
3.636363636,0.000476872,2.733309492,,,,3.636363636,0.000466593,2.674349128,,,,3.636363636,0.000438404,2.512675731,,,,3.636363636,0.000411876,2.360541823,,,,3.636363636,0.004768716,2.733309492,,,,3.636363636,0.047687158,2.733309492,,,,3.636363636,0.476871576,2.733309492
4.545454545,0.000595864,3.416074693,,,,4.545454545,0.00058302,3.342355914,,,,4.545454545,0.000547798,3.140224025,,,,4.545454545,0.00051465,2.950031753,,,,4.545454545,0.005958643,3.416074693,,,,4.545454545,0.059586434,3.416074693,,,,4.545454545,0.595864337,3.416074693
5.454545455,0.000714707,4.098464264,,,,5.454545455,0.000699301,4.009974871,,,,5.454545455,0.000657054,3.767357805,,,,5.454545455,0.000617295,3.539090665,,,,5.454545455,0.007147071,4.098464264,,,,5.454545455,0.071470709,4.098464264,,,,5.454545455,0.714707093,4.098464264
6.363636364,0.00083337,4.780402228,,,,6.363636364,0.000815406,4.677127604,,,,6.363636364,0.000766145,4.39399341,,,,6.363636364,0.000719785,4.127631692,,,,6.363636364,0.008333699,4.780402228,,,,6.363636364,0.083336992,4.780402228,,,,6.363636364,0.833369924,4.780402228
7.272727273,0.000951823,5.461812145,,,,7.272727273,0.000931306,5.343735261,,,,7.272727273,0.000875043,5.020046767,,,,7.272727273,0.000822093,4.715567601,,,,7.272727273,0.00951823,5.461812145,,,,7.272727273,0.095182296,5.461812145,,,,7.272727273,0.951822959,5.461812145
8.181818182,0.001070036,6.142617025,,,,8.181818182,0.001046972,6.009718459,,,,8.181818182,0.00098372,5.64543332,,,,8.181818182,0.000924194,5.302810734,,,,8.181818182,0.010700364,6.142617025,,,,8.181818182,0.107003638,6.142617025,,,,8.181818182,1.070036378,6.142617025
9.090909091,0.00118798,6.822739258,,,,9.090909091,0.001162373,6.674997203,,,,9.090909091,0.00109215,6.270067959,,,,9.090909091,0.001026063,5.889272948,,,,9.090909091,0.011879804,6.822739258,,,,9.090909091,0.118798042,6.822739258,,,,9.090909091,1.187980421,6.822739258
10,0.001305625,7.502100527,,,,10,0.001277482,7.339490812,,,,10,0.001200305,6.893864951,,,,10,0.001127673,6.474865557,,,,10,0.013056254,7.502100527,,,,10,0.13056254,7.502100527,,,,10,1.305625396,7.502100527
10.90909091,0.001422942,8.180621726,,,,10.90909091,0.00139227,8.003117836,,,,10.90909091,0.001308158,7.516737867,,,,10.90909091,0.001229,7.059499263,,,,10.90909091,0.014229417,8.180621726,,,,10.90909091,0.142294169,8.180621726,,,,10.90909091,1.422941687,8.180621726
